Date,Median_Price
28-10-2024,3400
29-10-2024,3600
29-10-2024,3600
29-10-2024,3600
29-10-2024,3700
29-10-2024,4000
29-10-2024,4000
29-10-2024,4000
29-10-2024,4000
29-10-2024,4000
29-10-2024,4000
29-10-2024,4200
29-10-2024,4000
29-10-2024,4500
29-10-2024,4400
29-10-2024,4600
29-10-2024,4200
29-10-2024,5200
29-10-2024,5200
30-10-2024,4800
30-10-2024,5200
30-10-2024,5200
30-10-2024,800
30-10-2024,800
30-10-2024,1000
30-10-2024,1000
30-10-2024,800
30-10-2024,1200
30-10-2024,1300
30-10-2024,1500
30-10-2024,2000
30-10-2024,2600
30-10-2024,3400
30-10-2024,3500
30-10-2024,3500
31-10-2024,3600
31-10-2024,3600
31-10-2024,3700
31-10-2024,3800
31-10-2024,4000
31-10-2024,4400
31-10-2024,4500
31-10-2024,4500
31-10-2024,4500
31-10-2024,4500
01-11-2024,4600
01-11-2024,4600
01-11-2024,4800
01-11-2024,700
01-11-2024,800
01-11-2024,700
01-11-2024,800
01-11-2024,800
01-11-2024,800
01-11-2024,800
01-11-2024,800
02-11-2024,800
02-11-2024,1000
02-11-2024,1000
02-11-2024,1000
02-11-2024,1000
02-11-2024,1400
02-11-2024,1500
02-11-2024,1600
02-11-2024,1600
02-11-2024,2000
02-11-2024,2400
02-11-2024,2400
02-11-2024,3000
02-11-2024,2900
03-11-2024,3000
03-11-2024,3000
03-11-2024,3200
03-11-2024,3400
03-11-2024,3200
03-11-2024,3400
03-11-2024,3200
04-11-2024,3400
04-11-2024,3500
04-11-2024,3700
04-11-2024,3700
04-11-2024,4000
04-11-2024,4000
04-11-2024,4400
04-11-2024,3800
04-11-2024,4000
04-11-2024,4200
04-11-2024,4700
04-11-2024,4700
04-11-2024,4600
04-11-2024,4800
05-11-2024,5200
05-11-2024,5200
05-11-2024,5200
05-11-2024,5700
05-11-2024,400
05-11-2024,400
05-11-2024,400
05-11-2024,400
05-11-2024,500
05-11-2024,500
05-11-2024,500
05-11-2024,500
05-11-2024,500
05-11-2024,500
05-11-2024,500
05-11-2024,600
06-11-2024,600
06-11-2024,600
06-11-2024,700
06-11-2024,700
06-11-2024,700
06-11-2024,700
06-11-2024,800
06-11-2024,1000
06-11-2024,1000
06-11-2024,1000
06-11-2024,1000
06-11-2024,1000
06-11-2024,1000
07-11-2024,1000
07-11-2024,1200
07-11-2024,1200
07-11-2024,1200
07-11-2024,1200
07-11-2024,1200
07-11-2024,1200
07-11-2024,1200
07-11-2024,1200
07-11-2024,1200
07-11-2024,1200
08-11-2024,1200
08-11-2024,1200
08-11-2024,1200
08-11-2024,1400
08-11-2024,1400
08-11-2024,1500
08-11-2024,1600
08-11-2024,1600
08-11-2024,2200
08-11-2024,2200
08-11-2024,2400
08-11-2024,2500
08-11-2024,2500
09-11-2024,2500
09-11-2024,2500
09-11-2024,2600
09-11-2024,2600
09-11-2024,2600
09-11-2024,2800
09-11-2024,2800
09-11-2024,2700
09-11-2024,2700
09-11-2024,2800
10-11-2024,2800
10-11-2024,2800
10-11-2024,3000
10-11-2024,3000
10-11-2024,3200
10-11-2024,3000
10-11-2024,3000
10-11-2024,3000
11-11-2024,3000
