Date_Hour,Temperature,Humidity,Wind_Speed,Precipitation,Condition,City
07-04-2024 04:00,22.9,62,6.5,0,Partly cloudy,
07-04-2024 05:00,23.4,60,6.8,0,Partly cloudy,
07-04-2024 06:00,25.1,55,7.9,0,Sunny,
07-04-2024 07:00,27.8,48,6.5,0,Sunny,
07-04-2024 08:00,30.2,41,6.5,0,Sunny,
07-04-2024 09:00,32.7,34,7.2,0,Sunny,
07-04-2024 10:00,35.1,27,7.6,0,Sunny,
07-04-2024 11:00,36.7,23,10.4,0,Partly cloudy,
07-04-2024 12:00,38.4,19,13.7,0,Partly cloudy,
07-04-2024 13:00,39,16,20.9,0,Sunny,
07-04-2024 14:00,40.1,13,30.2,0,Sunny,
07-04-2024 15:00,39,14,28.1,0,Sunny,
07-04-2024 16:00,37.3,17,23.4,0,Sunny,
07-04-2024 17:00,34.8,20,19.4,0,Sunny,
07-04-2024 18:00,32.3,23,11.9,0,Clear,
07-04-2024 19:00,30.6,25,8.3,0,Clear,
07-04-2024 20:00,29.8,27,6.8,0,Clear,
07-04-2024 21:00,29.6,27,5,0,Clear,
07-04-2024 22:00,29.5,27,5.4,0,Clear,
07-04-2024 23:00,28.7,29,3.6,0,Clear,
08-04-2024 00:00,27.9,41,5,0,Clear,
08-04-2024 01:00,27.7,42,4.3,0,Clear,
08-04-2024 02:00,27,43,0.7,0,Clear,
08-04-2024 03:00,25.7,47,2.9,0,Clear,
08-04-2024 04:00,25.1,49,4,0,Clear,
08-04-2024 05:00,25.5,49,5.8,0,Clear,
08-04-2024 06:00,27.6,44,4,0,Sunny,
08-04-2024 07:00,30.3,37,1.8,0,Sunny,
08-04-2024 08:00,32.4,30,7.2,0,Cloudy,
08-04-2024 09:00,34.2,25,9.7,0,Partly cloudy,
08-04-2024 10:00,35.1,22,13.3,0,Partly cloudy,
08-04-2024 11:00,35.9,20,14.8,0,Sunny,
08-04-2024 12:00,35.8,18,14,0,Sunny,
08-04-2024 13:00,37.2,13,21.2,0,Sunny,
08-04-2024 14:00,36.8,14,18,0,Sunny,
08-04-2024 15:00,35.4,17,19.1,0,Sunny,
08-04-2024 16:00,33.2,22,14,0,Sunny,
08-04-2024 17:00,31.5,25,6.5,0,Sunny,
08-04-2024 18:00,30.4,28,10.4,0,Clear,
08-04-2024 19:00,29.1,31,6.5,0,Clear,
08-04-2024 20:00,27.4,38,2.9,0,Clear,
08-04-2024 21:00,26.3,41,2.5,0,Clear,
08-04-2024 22:00,25.8,41,3.6,0,Clear,
08-04-2024 23:00,25.2,41,4.7,0,Clear,
09-04-2024 00:00,24.4,42,6.8,0,Clear,
09-04-2024 01:00,23.2,43,6.8,0,Clear,
09-04-2024 02:00,22.6,44,7.6,0,Clear,
09-04-2024 03:00,22.2,43,5.8,0,Clear,
09-04-2024 04:00,21.9,43,2.5,0,Clear,
09-04-2024 05:00,21.9,44,1.8,0,Clear,
09-04-2024 06:00,24.6,38,1.8,0,Sunny,
09-04-2024 07:00,27.6,33,5.4,0,Sunny,
09-04-2024 08:00,30.1,29,7.2,0,Sunny,
09-04-2024 09:00,32.6,26,6.5,0,Sunny,
09-04-2024 10:00,34.1,23,5,0,Sunny,
09-04-2024 11:00,35.3,21,6.1,0,Sunny,
09-04-2024 12:00,35.8,18,9.4,0,Sunny,
09-04-2024 13:00,36.7,14,11.9,0,Sunny,
09-04-2024 14:00,37,12,17.3,0,Sunny,
09-04-2024 15:00,36.6,15,15.8,0,Sunny,
09-04-2024 16:00,35.4,18,19.8,0,Sunny,
09-04-2024 17:00,31.8,24,10.1,0,Sunny,
09-04-2024 18:00,29.9,27,6.8,0,Clear,
09-04-2024 19:00,29.7,27,6.1,0,Clear,
09-04-2024 20:00,29,30,8.3,0,Clear,
09-04-2024 21:00,27.8,33,5.4,0,Clear,
09-04-2024 22:00,27,35,1.4,0,Clear,
09-04-2024 23:00,26.6,35,2.2,0,Clear,
10-04-2024 00:00,26.1,35,2.5,0,Clear,
10-04-2024 01:00,24.8,36,2.9,0,Clear,
10-04-2024 02:00,23.6,38,5.8,0,Clear,
10-04-2024 03:00,22.7,40,5.4,0,Clear,
10-04-2024 04:00,22.2,43,5,0,Overcast,
10-04-2024 05:00,22.6,44,6.1,0,Overcast,
10-04-2024 06:00,23.8,44,7.2,0,Sunny,
10-04-2024 07:00,26.6,38,9.7,0,Overcast,
10-04-2024 08:00,29,33,9.4,0,Sunny,
10-04-2024 09:00,31.6,27,9.4,0,Sunny,
10-04-2024 10:00,33.3,23,7.9,0,Overcast,
10-04-2024 11:00,34.5,20,5.8,0,Overcast,
10-04-2024 12:00,35.3,19,3.2,0,Overcast,
10-04-2024 13:00,34.7,19,4.3,0,Sunny,
10-04-2024 14:00,35.1,17,6.1,0,Overcast,
10-04-2024 15:00,36.2,16,8.3,0,Sunny,
10-04-2024 16:00,35.7,17,7.6,0,Sunny,
10-04-2024 17:00,32.3,22,3.6,0,Sunny,
10-04-2024 18:00,30.8,24,2.9,0,Clear,
10-04-2024 19:00,29.5,26,4,0,Clear,
10-04-2024 20:00,28.5,27,5.4,0,Clear,
10-04-2024 21:00,27.4,29,5.4,0,Clear,
10-04-2024 22:00,26.5,30,5,0,Clear,
10-04-2024 23:00,25.2,33,7.6,0,Clear,
11-04-2024 00:00,23.6,35,5.8,0,Clear,
11-04-2024 01:00,22.8,37,7.2,0,Clear,
11-04-2024 02:00,22.7,37,7.6,0,Clear,
11-04-2024 03:00,21.5,41,6.5,0,Clear,
11-04-2024 04:00,21.4,40,6.8,0,Partly cloudy,
11-04-2024 05:00,21.1,40,6.8,0,Clear,
11-04-2024 06:00,24,35,7.2,0,Cloudy,
11-04-2024 07:00,26.8,31,9,0,Cloudy,
11-04-2024 08:00,29.1,29,11.2,0,Cloudy,
11-04-2024 09:00,31.7,25,11.9,0,Sunny,
11-04-2024 10:00,34.1,21,10.8,0,Sunny,
11-04-2024 11:00,35.5,18,5.4,0,Sunny,
11-04-2024 12:00,36,17,2.2,0,Sunny,
11-04-2024 13:00,37.2,15,5.4,0,Sunny,
11-04-2024 14:00,37.6,13,8.6,0,Sunny,
11-04-2024 15:00,36.7,13,10.8,0,Sunny,
11-04-2024 16:00,35.5,15,9,0,Sunny,
11-04-2024 17:00,32.3,18,4.7,0,Sunny,
11-04-2024 18:00,30.4,19,4.3,0,Clear,
11-04-2024 19:00,29.6,21,4.7,0,Clear,
11-04-2024 20:00,28.4,23,5,0,Clear,
11-04-2024 21:00,27.5,25,4.7,0,Clear,
11-04-2024 22:00,26.7,26,3.6,0,Clear,
11-04-2024 23:00,25.8,27,2.5,0,Clear,
12-04-2024 00:00,25.9,30,4.7,0,Clear,
12-04-2024 01:00,25.4,32,6.5,0,Clear,
12-04-2024 02:00,24.7,34,7.9,0,Clear,
12-04-2024 03:00,24.2,35,5.4,0,Clear,
12-04-2024 04:00,23.6,37,5.8,0,Clear,
12-04-2024 05:00,24.4,35,5.4,0,Partly cloudy,
12-04-2024 06:00,26.3,33,4,0,Partly cloudy,
12-04-2024 07:00,29.3,27,6.1,0,Sunny,
12-04-2024 08:00,32.1,22,7.2,0,Sunny,
12-04-2024 09:00,34.3,20,7.6,0,Sunny,
12-04-2024 10:00,36.1,17,5,0,Sunny,
12-04-2024 11:00,37.7,16,2.5,0,Sunny,
12-04-2024 12:00,37.8,15,10.4,0,Sunny,
12-04-2024 13:00,38.1,14,12.6,0,Sunny,
12-04-2024 14:00,38,14,13.7,0,Sunny,
12-04-2024 15:00,37.6,14,13.3,0,Sunny,
12-04-2024 16:00,35.7,17,11.2,0,Sunny,
12-04-2024 17:00,32.9,22,9.4,0,Sunny,
12-04-2024 18:00,31.5,25,5,0,Clear,
12-04-2024 19:00,30.4,28,4,0,Clear,
12-04-2024 20:00,29.1,30,4.3,0,Clear,
12-04-2024 21:00,28.4,32,4.3,0,Clear,
12-04-2024 22:00,28.1,33,4.7,0,Clear,
12-04-2024 23:00,27.6,34,2.2,0,Clear,
13-04-2024 00:00,26.7,31,5.4,0,Clear,
13-04-2024 01:00,26.1,32,6.5,0,Clear,
13-04-2024 02:00,25.6,33,1.8,0,Clear,
13-04-2024 03:00,25.1,35,4,0,Clear,
13-04-2024 04:00,25,36,6.1,0,Clear,
13-04-2024 05:00,25.1,36,5.8,0,Clear,
13-04-2024 06:00,27.5,32,7.9,0,Sunny,
13-04-2024 07:00,30.1,27,10.1,0,Sunny,
13-04-2024 08:00,32.6,23,9.7,0,Sunny,
